Rank,Name,Pop 2021
38,Afghanistan,39835.428
143,Albania,2872.933
35,Algeria,44616.624
33,Argentina,45605.826
142,Armenia,2968.127
56,Australia,25788.215
99,Austria,9043.07
90,Azerbaijan,10223.342
156,Bahrain,1748.296
8,Bangladesh,166303.498
97,Belarus,9442.862
83,Belgium,11632.326
78,Benin,12451.04
81,Bolivia,11832.94
138,Bosnia and Herzegovina,3263.466
148,Botswana,2397.241
7,Brazil,213993.437
109,Bulgaria,6896.663
59,Burkina Faso,21497.096
79,Burundi,12255.433
73,Cambodia,16946.438
53,Cameroon,27224.265
39,Canada,38067.903
71,Chad,16914.985
65,Chile,19212.361
1,China,1444216.107
29,Colombia,51265.844
167,Comoros,888.451
125,Costa Rica,5139.052
132,Croatia,4081.651
162,Cyprus,1215.584
87,Czech Republic,10724.555
116,Denmark,5813.298
86,Dominican Republic,10953.703
69,Ecuador,17888.475
14,Egypt,104258.327
113,El Salvador,6518.499
160,Estonia,1325.185
12,Ethiopia,117876.227
118,Finland,5548.36
22,France,65426.179
149,Gabon,2278.825
147,Gambia,2486.945
134,Georgia,3979.765
19,Germany,83900.473
48,Ghana,31732.129
88,Greece,10370.744
68,Guatemala,18249.86
76,Guinea,13497.244
82,Haiti,11541.685
91,Honduras,10062.991
96,Hungary,9634.164
183,Iceland,343.353
2,India,1393409.038
4,Indonesia,276361.783
17,Iran,85028.759
37,Iraq,41179.35
126,Ireland,4982.907
100,Israel,8789.774
25,Italy,60367.477
54,Ivory Coast,27053.629
140,Jamaica,2973.463
11,Japan,126050.804
89,Jordan,10269.021
66,Kazakhstan,18994.962
27,Kenya,54985.698
155,Kosovo,
131,Kuwait,4328.55
111,Kyrgyzstan,6628.356
106,Laos,7379.358
154,Latvia,1866.942
112,Lebanon,6769.146
150,Lesotho,2159.079
124,Liberia,5180.203
108,Libya,6958.532
145,Lithuania,2689.862
171,Luxembourg,634.814
52,Madagascar,28427.328
62,Malawi,19647.684
46,Malaysia,32776.194
176,Maldives,543.617
61,Mali,20855.735
178,Malta,442.784
128,Mauritania,4775.119
161,Mauritius,1273.433
10,Mexico,130262.216
133,Moldova,4024.019
137,Mongolia,3329.289
172,Montenegro,628.053
40,Morocco,37344.795
47,Mozambique,32163.047
28,Myanmar,54806.012
146,Namibia,2587.344
50,Nepal,29674.92
72,Netherlands,17173.099
129,New Zealand,4860.643
110,Nicaragua,6702.385
55,Niger,25130.817
6,Nigeria,211400.708
151,North Macedonia,2082.658
119,Norway,5465.63
5,Pakistan,225199.937
130,Panama,4381.579
107,Paraguay,7219.638
45,Peru,33359.418
13,Philippines,111046.913
41,Poland,37797.005
93,Portugal,10167.925
67,Romania,19127.774
9,Russia,145912.025
77,Rwanda,13276.513
42,Saudi Arabia,35340.683
70,Senegal,17196.301
103,Serbia,8697.55
104,Sierra Leone,8141.343
115,Singapore,5896.686
121,Slovakia,5460.721
152,Slovenia,2078.724
24,South Africa,60041.994
30,South Korea,51305.186
32,Spain,46745.216
60,Sri Lanka,21497.31
92,Sweden,10160.169
101,Switzerland,8715.494
95,Tajikistan,9749.627
23,Tanzania,61498.437
20,Thailand,69950.85
102,Togo,8478.25
80,Tunisia,11935.766
18,Turkey,85042.738
114,Turkmenistan,6117.924
31,Uganda,47123.531
36,Ukraine,43466.819
94,United Arab Emirates,9991.089
21,United Kingdom,68207.116
3,United States,332915.073
136,Uruguay,3485.151
44,Uzbekistan,33935.763
51,Venezuela,28704.954
15,Vietnam,98168.833
49,Yemen,30490.64
63,Zambia,18920.651
75,Zimbabwe,15092.171
