Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption, Population 
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118," 360,563 "
22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151," 504,062 "
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316," 620,001 "
73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08," 622,028 "
95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167," 763,094 "
142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078," 850,891 "
49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041," 1,198,574 "
57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06," 1,265,711 "
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161," 1,326,855 "
37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11," 1,641,164 "
53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064," 1,913,822 "
84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034," 2,076,694 "
44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057," 2,088,385 "
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093," 2,125,267 "
104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055," 2,172,578 "
148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1," 2,303,703 "
120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167," 2,347,696 "
113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056," 2,494,524 "
42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042," 2,794,137 "
29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167," 2,832,071 "
107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027," 2,854,191 "
56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028," 2,948,277 "
116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064," 2,957,728 "
83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038," 3,225,166 "
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006," 3,300,998 "
33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15," 3,461,731 "
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164," 3,720,161 "
75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022," 4,065,253 "
51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097," 4,207,077 "
31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054," 4,246,440 "
122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088," 4,525,698 "
155,Central African Republic,3.083,0.026,0,0.105,0.225,0.235,0.035," 4,745,179 "
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31," 4,934,340 "
141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033," 4,937,374 "
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38," 4,979,300 "
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093," 5,047,561 "
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341," 5,347,896 "
38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014," 5,454,147 "
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393," 5,521,606 "
34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453," 5,703,569 "
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41," 5,814,422 "
87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028," 5,942,094 "
35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074," 6,453,550 "
45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127," 6,545,503 "
72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152," 6,777,453 "
91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027," 6,855,709 "
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039," 6,945,235 "
97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004," 6,975,761 "
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08," 7,044,639 "
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045," 7,813,207 "
139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085," 8,082,359 "
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343," 8,575,280 "
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226," 8,879,920 "
13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082," 9,054,000 "
74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144," 9,321,023 "
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142," 9,419,758 "
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078," 9,746,115 "
21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182," 9,770,526 "
62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02," 9,771,141 "
90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182," 10,024,283 "
101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13," 10,101,697 "
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373," 10,278,887 "
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025," 10,286,263 "
82,Greece,5.287,1.181,1.156,0.999,0.067,0,0.034," 10,721,582 "
77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101," 10,738,957 "
156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091," 11,062,114 "
147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11," 11,263,079 "
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21," 11,488,980 "
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18," 11,530,577 "
124,Tunisia,4.461,0.921,1,0.815,0.167,0.059,0.055," 11,694,721 "
102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082," 11,801,151 "
152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411," 12,626,938 "
118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086," 12,771,246 "
146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089," 14,645,473 "
112,Somalia,4.668,0,0.698,0.268,0.559,0.243,0.27," 15,442,906 "
132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078," 15,946,882 "
111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072," 16,296,362 "
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062," 16,486,542 "
27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078," 16,604,026 "
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298," 17,344,874 "
50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087," 17,373,657 "
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087," 17,861,034 "
60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096," 18,513,673 "
