country,score,gdp_per_capita,social_support,health_l,freedom,generosity,corruption,population
China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,1433784
India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,1366418
United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,329065
Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,270626
Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,216565
Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,211050
Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,200964
Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,163046
Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,127576
Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,126860
Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,112079
Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,108117
Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,100388
Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,83517
Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,83430
Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,69626
United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,67530
France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,65130
Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,60550
South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,58558
Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,54045
Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,52574
Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,50339
Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,46737
Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,44781
Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,44270
Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,43994
Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,43053
Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,39310
Afghanistan,3.203,0.35,0.517,0.361,0,0.158,0.025,38042
Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,37888
Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,37411
Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,36472
Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,34269
Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,32982
Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,32510
Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,31950
Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,30418
Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,30366
Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,29162
Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,28609
Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,26969
Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,25876
Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,25203
Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,23311
Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,21324
Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,20321
Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,19658
Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,19365
Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,18952
Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,18629
Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,18551
Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,17861
Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,17581
Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,17374
Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,17097
Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,16487
Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,16296
Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,15947
Somalia,4.668,0,0.698,0.268,0.559,0.243,0.27,15443
Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,14645
Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,12771
Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,12627
Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,11801
Tunisia,4.461,0.921,1,0.815,0.167,0.059,0.055,11695
Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,11539
Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,11531
Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,11263
South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,11062
Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,10739
Greece,5.287,1.181,1.156,0.999,0.067,0,0.034,10473
Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,10226
Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,10102
Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,10048
Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,10036
