country,ladder_score,gdp,social_support,health_life_expectancy,freedom,generosity,corruption
Finland,7.842,1.446,1.106,0.741,0.691,0.124,0.481
Denmark,7.62,1.502,1.108,0.763,0.686,0.208,0.485
Switzerland,7.571,1.566,1.079,0.816,0.653,0.204,0.413
Iceland,7.554,1.482,1.172,0.772,0.698,0.293,0.17
Norway,7.392,1.543,1.108,0.782,0.703,0.249,0.427
Luxembourg,7.324,1.751,1.003,0.76,0.639,0.166,0.353
New Zealand,7.277,1.4,1.094,0.785,0.665,0.276,0.445
Austria,7.268,1.492,1.062,0.782,0.64,0.215,0.292
Israel,7.157,1.376,1.074,0.788,0.509,0.208,0.119
Ireland,7.085,1.644,1.092,0.753,0.606,0.238,0.367
Costa Rica,7.069,1.134,0.966,0.722,0.673,0.105,0.083
Bahrain,6.647,1.409,0.899,0.662,0.661,0.246,0.139
Malta,6.602,1.411,1.055,0.747,0.664,0.275,0.183
United Arab Emirates,6.561,1.555,0.86,0.594,0.67,0.236,0.223
Slovenia,6.461,1.36,1.093,0.722,0.69,0.122,0.085
Uruguay,6.431,1.164,1.042,0.649,0.625,0.128,0.223
Singapore,6.377,1.695,1.019,0.897,0.664,0.176,0.547
Slovakia,6.331,1.304,1.066,0.653,0.468,0.107,0.018
Jamaica,6.309,0.891,0.932,0.599,0.618,0.099,0.035
Lithuania,6.255,1.35,1.065,0.612,0.476,0.056,0.073
Cyprus,6.223,1.377,0.765,0.801,0.464,0.178,0.061
Estonia,6.189,1.344,1.079,0.64,0.641,0.119,0.263
Panama,6.18,1.298,0.976,0.667,0.596,0.079,0.053
Kuwait,6.106,1.461,0.857,0.58,0.591,0.12,0.13
Serbia,6.078,1.101,0.924,0.634,0.482,0.189,0.066
El Salvador,6.061,0.845,0.675,0.565,0.615,0.116,0.16
Mauritius,6.049,1.178,0.996,0.574,0.59,0.153,0.096
Latvia,6.032,1.285,1.047,0.587,0.405,0.082,0.089
Hungary,5.992,1.301,1.083,0.615,0.454,0.067,0.04
Nicaragua,5.972,0.693,0.904,0.604,0.553,0.201,0.176
Croatia,5.882,1.251,1.039,0.703,0.453,0.111,0
Bosnia and Herzegovina,5.813,1.032,0.919,0.618,0.395,0.261,0.005
Kyrgyzstan,5.744,0.665,0.971,0.501,0.673,0.266,0.02
Mongolia,5.677,0.966,1.065,0.442,0.397,0.263,0.053
Paraguay,5.653,0.983,0.97,0.549,0.602,0.206,0.037
Montenegro,5.581,1.155,0.891,0.637,0.397,0.166,0.081
Belarus,5.534,1.124,1.007,0.56,0.326,0.07,0.199
Tajikistan,5.466,0.508,0.895,0.498,0.548,0.152,0.247
Libya,5.41,1.044,0.821,0.435,0.474,0.131,0.174
Armenia,5.283,0.996,0.758,0.585,0.54,0.079,0.198
Bulgaria,5.266,1.181,1.055,0.583,0.494,0.125,0.005
Albania,5.117,1.008,0.529,0.646,0.491,0.168,0.024
North Macedonia,5.101,1.068,0.772,0.535,0.45,0.212,0.022
Turkmenistan,5.066,1.046,1.172,0.439,0.602,0.366,0.033
Gambia,5.051,0.367,0.511,0.21,0.384,0.465,0.123
Georgia,4.891,1.03,0.47,0.498,0.488,0.032,0.181
Gabon,4.852,1.037,0.707,0.362,0.424,0.058,0.064
Liberia,4.625,0.228,0.58,0.253,0.43,0.221,0.057
Lebanon,4.584,1.045,0.868,0.595,0.175,0.14,0.026
Namibia,4.574,0.882,0.801,0.262,0.411,0.091,0.059
Comoros,4.289,0.488,0.367,0.279,0.202,0.241,0.101
Mauritania,4.227,0.666,0.749,0.273,0.218,0.119,0.133
Togo,4.107,0.254,0.239,0.203,0.289,0.209,0.107
Sierra Leone,3.849,0.279,0.377,0.1,0.408,0.243,0.047
Lesotho,3.512,0.451,0.731,0.007,0.405,0.103,0.015
Botswana,3.467,1.099,0.724,0.34,0.539,0.027,0.088
